timestamp,model,latency,response_length
1767589581.1156266,llama,5.163,1025
1767589583.6233702,chatgpt,7.674,459
1767589584.280615,gemini,8.329,2131
1767589640.747232,llama,3.102,1061
1767589642.6583836,chatgpt,5.021,743
1767589645.2840466,gemini,7.644,123
